file_name,model_name,f1_macro,recall,specificity
Feature_files\RFE-8-features.csv,GradientBoostingClassifier(verbose=3)_RFE-8-features.pkl,0.47941383218660505,0.45583600671404934,0.8261024384511758
Feature_files\RFE-5-features.csv,GradientBoostingClassifier(verbose=3)_RFE-5-features.pkl,0.4789390314007213,0.4540129537374348,0.8236367193254506
Feature_files\Anova-11-features.csv,GradientBoostingClassifier(verbose=3)_Anova-11-features.pkl,0.47701862353532326,0.4536729604943628,0.8236658691558253
Feature_files\RFE-3-features.csv,GradientBoostingClassifier(verbose=3)_RFE-3-features.pkl,0.47532134025581546,0.4507359692606882,0.8180428803078288
Feature_files\RFE-6-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_RFE-6-features.pkl",0.47236983594112913,0.551913125176646,0.8951028377585007
Feature_files\RFE-3-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_RFE-3-features.pkl",0.47145299281792064,0.5522898092736428,0.8925427767948395
Feature_files\Anova-6-features.csv,GradientBoostingClassifier(verbose=3)_Anova-6-features.pkl,0.4707035923153179,0.45040879918985144,0.8198494402030267
Feature_files\RFE-7-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_RFE-7-features.pkl",0.4664842094590618,0.5326549098634465,0.8910170773611348
Feature_files\Anova-3-features.csv,GradientBoostingClassifier(verbose=3)_Anova-3-features.pkl,0.4657354762138538,0.4450666935920289,0.8194717997932143
Feature_files\Variance_thresholded_features.csv,GradientBoostingClassifier(verbose=3)_Variance_thresholded_features.pkl,0.4645582790563119,0.44549900646139057,0.8203135749569006
Feature_files\RFE-4-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_RFE-4-features.pkl",0.4642574293985584,0.5297484101139525,0.8905635963108548
Feature_files\RFE-11-features.csv,GradientBoostingClassifier(verbose=3)_RFE-11-features.pkl,0.4620109225608281,0.44309190732137455,0.8198762809766965
Feature_files\Anova-10-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_Anova-10-features.pkl",0.46186265228302015,0.5311988011988011,0.8886631744769989
Feature_files\Anova-7-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_Anova-7-features.pkl",0.46138196466798487,0.5269897689875152,0.8905184267674734
Feature_files\RFE-5-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_RFE-5-features.pkl",0.46102427947255886,0.5275492137554048,0.8935855175131706
Feature_files\Anova-11-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_Anova-11-features.pkl",0.4609668357752102,0.5421094426578208,0.8865947787150723
Feature_files\Anova-8-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_Anova-8-features.pkl",0.46047755540939284,0.5273497007256741,0.885742918751521
Feature_files\Anova-4-features.csv,GradientBoostingClassifier(verbose=3)_Anova-4-features.pkl,0.45985624678588577,0.44217177417432996,0.8177265618584023
Feature_files\Anova-5-features.csv,GradientBoostingClassifier(verbose=3)_Anova-5-features.pkl,0.4597777938202442,0.442920435044558,0.817416525559004
Feature_files\RFE-8-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_RFE-8-features.pkl",0.45974981738858156,0.513227680721314,0.8856098901507362
Feature_files\Anova-9-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_Anova-9-features.pkl",0.4594329144512298,0.5192068155459608,0.8942496693052083
Feature_files\Anova-11-features.csv,RandomForestClassifier(class_weight='balanced')_Anova-11-features.pkl,0.4551085500611274,0.6349621692797607,0.8992126243352999
Feature_files\Variance_thresholded_features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_Variance_thresholded_features.pkl",0.45142886397328474,0.5192768228502778,0.8842082714111447
Feature_files\RFE-9-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_RFE-9-features.pkl",0.4511720606392219,0.5339053705395912,0.8904962087999229
Feature_files\Anova-5-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_Anova-5-features.pkl",0.44747838376892146,0.5026684255761429,0.8881023417574309
Feature_files\RFE-10-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_RFE-10-features.pkl",0.446489488476841,0.5138157828213374,0.8851652774716812
Feature_files\RFE-11-features.csv,RandomForestClassifier(class_weight='balanced')_RFE-11-features.pkl,0.4464290666163504,0.6601963871551868,0.9004687196627039
Feature_files\RFE-11-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_RFE-11-features.pkl",0.4430105580731811,0.511490618306037,0.8876035878861149
Feature_files\Anova-7-features.csv,RandomForestClassifier(class_weight='balanced')_Anova-7-features.pkl,0.4409174623907551,0.6686979024078157,0.9006004222260537
Feature_files\Anova-8-features.csv,RandomForestClassifier(class_weight='balanced')_Anova-8-features.pkl,0.438932110108562,0.6822415719245529,0.904434748131216
Feature_files\RFE-9-features.csv,RandomForestClassifier(class_weight='balanced')_RFE-9-features.pkl,0.4340215199682899,0.662518694521623,0.9018225246085967
Feature_files\RFE-4-features.csv,RandomForestClassifier(class_weight='balanced')_RFE-4-features.pkl,0.43124501419194117,0.6304398244231477,0.9048499385068982
Feature_files\RFE-8-features.csv,RandomForestClassifier(class_weight='balanced')_RFE-8-features.pkl,0.4306608888322856,0.6487482231211656,0.9011449941650784
Feature_files\Anova-9-features.csv,RandomForestClassifier(class_weight='balanced')_Anova-9-features.pkl,0.4306304128759749,0.6498881915380184,0.902965930733996
Feature_files\Anova-4-features.csv,LGBMClassifier(class_weight='balanced')_Anova-4-features.pkl,0.41820310201833566,0.5886687503144338,0.8954172531479452
Feature_files\Anova-5-features.csv,RandomForestClassifier(class_weight='balanced')_Anova-5-features.pkl,0.4094845562915312,0.6468013203242562,0.9000367358224259
Feature_files\Anova-3-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_Anova-3-features.pkl",0.4075856296677826,0.5108992588988353,0.8847201978541284
Feature_files\RFE-3-features.csv,RandomForestClassifier(class_weight='balanced')_RFE-3-features.pkl,0.40502816225949256,0.66324013392308,0.8996361235130786
Feature_files\Anova-3-features.csv,LGBMClassifier(class_weight='balanced')_Anova-3-features.pkl,0.39467952293510444,0.4745064275038991,0.8968844493800336
Feature_files\RFE-7-features.csv,RandomForestClassifier(class_weight='balanced')_RFE-7-features.pkl,0.3927008082473275,0.6722649688281971,0.9047106316632686
Feature_files\Anova-10-features.csv,RandomForestClassifier(class_weight='balanced')_Anova-10-features.pkl,0.3856337469100885,0.6579966410401192,0.8990440576727285
Feature_files\Anova-4-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_Anova-4-features.pkl",0.3817732855710484,0.49902654615358133,0.8860239746703877
Feature_files\Anova-6-features.csv,"LogisticRegression(class_weight='balanced',multi_class='multinomial',solver='newton-cg')_Anova-6-features.pkl",0.37961823994623983,0.49377675932885606,0.8911504033153905
Feature_files\Anova-3-features.csv,RandomForestClassifier(class_weight='balanced')_Anova-3-features.pkl,0.36345183319780844,0.5833405469686405,0.8974620579216154
Feature_files\RFE-5-features.csv,RandomForestClassifier(class_weight='balanced')_RFE-5-features.pkl,0.362837029191714,0.6329614380518732,0.9009644643501661
Feature_files\RFE-10-features.csv,RandomForestClassifier(class_weight='balanced')_RFE-10-features.pkl,0.35229542436859507,0.6755532840216893,0.9002083316017192
Feature_files\RFE-6-features.csv,RandomForestClassifier(class_weight='balanced')_RFE-6-features.pkl,0.35180983904381397,0.6653808629349893,0.9038336982584789
Feature_files\Anova-6-features.csv,RandomForestClassifier(class_weight='balanced')_Anova-6-features.pkl,0.3493367674374907,0.6361956133181177,0.897957500441372
Feature_files\Variance_thresholded_features.csv,RandomForestClassifier(class_weight='balanced')_Variance_thresholded_features.pkl,0.3385515297376296,0.6292212334542051,0.9004052318091393
Feature_files\Anova-4-features.csv,RandomForestClassifier(class_weight='balanced')_Anova-4-features.pkl,0.3298681480973701,0.5990990865754213,0.8943961553833653
